"","Site","Zone","Management","ID","Diam_Holdfast","TW_sum","LT","Structure","Weight_Str","porc_TW","FW","DW","High_Holdfast","Stipes","First_bif","Diam_stipes","LT_stipes","Dichot_stipes","ID_IRMS","peso_mg","mg_N2","ug_N2","X15N","mg_C","ug_C","X13C","porc_N","porc_C","C_N"
"234","Chanaral OA","North-Center","OA",10,12,828,108,"Blades",540,65.2173913043478,0.7528,0.121,"NA","NA","NA","NA","NA","NA",1135,1.232,0.019,18.992,10.611,0.307,306.515,-22.029,1.542,24.879,16.139
"235","Chanaral OA","North-Center","OA",11,14,475,92,"Holdfast",121,25.4736842105263,2.1567,0.5031,"8","NA","NA","NA","NA","NA",1164,1.413,0.022,22.145,10.992,0.452,452.192,-20.379,1.567,32.002,20.419
"236","Chanaral OA","North-Center","OA",11,14,475,92,"Stipes",162,34.1052631578947,0.9183,0.129,"NA","14","6.666666667","17.7","23.66666667","23.66666667",1185,1.573,0.019,18.827,10.596,0.418,417.822,-25.044,1.197,26.562,22.193
"237","Chanaral OA","North-Center","OA",11,14,475,92,"Blades",192,40.4210526315789,0.7734,0.136,"NA","NA","NA","NA","NA","NA",1136,1.342,0.025,25.063,10.661,0.427,427.32,-20.21,1.868,31.842,17.05
"238","Chanaral OA","North-Center","OA",12,17,1063,133,"Holdfast",132,12.41768579492,1.0514,0.2701,"4","NA","NA","NA","NA","NA",1165,1.116,0.016,15.978,9.974,0.366,366.328,-25.306,1.432,32.825,22.927
"239","Chanaral OA","North-Center","OA",12,17,1063,133,"Stipes",168,15.8043273753528,2.0856,0.5197,"NA","6","2.333333333","20.93333333","24","24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Chanaral OA","North-Center","OA",12,17,1063,133,"Blades",763,71.7779868297272,0.64,0.0838,"NA","NA","NA","NA","NA","NA",1137,1.105,0.021,20.58,10.893,0.338,337.565,-24.171,1.862,30.549,16.402
"241","Chanaral OA","North-Center","OA",18,13,1410,139,"Holdfast",115,8.15602836879433,1.2013,0.3586,"12","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","Chanaral OA","North-Center","OA",18,13,1410,139,"Stipes",260,18.4397163120567,2.62231,0.7061,"NA","1","42","34","63","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Chanaral OA","North-Center","OA",18,13,1410,139,"Blades",1035,73.4042553191489,0.5893,0.0514,"NA","NA","NA","NA","NA","NA",1144,1.258,0.023,22.973,10.413,0.366,366.01,-20.811,1.826,29.095,15.932
"244","Chanaral OA","North-Center","OA",22,4,228,69,"Holdfast",7,3.07017543859649,2.357,0.5627,"4","NA","NA","NA","NA","NA",1174,1.48,0.023,22.844,11.161,0.455,455.079,-25.09,1.544,30.749,19.921
"245","Chanaral OA","North-Center","OA",22,4,228,69,"Stipes",23,10.0877192982456,1.5763,0.2757,"NA","2","3.5","16.15","15","15",1194,1.124,0.016,15.971,10.218,0.302,302.425,-25.334,1.421,26.906,18.936
"246","Chanaral OA","North-Center","OA",22,4,228,69,"Blades",198,86.8421052631579,1.0131,0.1531,"NA","NA","NA","NA","NA","NA",1147,1.297,0.027,27.02,10.853,0.448,447.588,-24.002,2.083,34.509,16.565
"247","Chanaral OA","North-Center","OA",15,11,671,87,"Holdfast",59,8.79284649776453,1.5386,0.3406,"5","NA","NA","NA","NA","NA",1166,1.335,0.022,21.538,11.512,0.424,424.473,-23.93,1.613,31.796,19.708
"248","Chanaral OA","North-Center","OA",15,11,671,87,"Stipes",42,6.25931445603577,1.2852,0.2126,"NA","20","2.333333333","11.93333333","8.333333333","8.333333333",1189,1.428,0.023,22.929,10.658,0.395,395.338,-23.938,1.606,27.685,17.242
"249","Chanaral OA","North-Center","OA",15,11,671,87,"Blades",570,84.9478390461997,0.4377,0.0514,"NA","NA","NA","NA","NA","NA",1141,1.344,0.025,25.485,10.819,0.376,376.392,-24.203,1.896,28.005,14.769
"250","Chanaral OA","North-Center","OA",16,5,178,48,"Holdfast",13,7.30337078651685,1.9921,0.4127,"3","NA","NA","NA","NA","NA",1167,1.49,0.024,23.621,11.386,0.453,453.278,-18.643,1.585,30.421,19.189
"251","Chanaral OA","North-Center","OA",16,5,178,48,"Stipes",11,6.17977528089888,0.7888,0.1383,"NA","9","1.766666667","13.1","5","5",1190,1.349,0.023,22.994,11.362,0.393,392.78,-18.027,1.705,29.116,17.082
"252","Chanaral OA","North-Center","OA",16,5,178,48,"Blades",154,86.5168539325843,0.3748,0.0468,"NA","NA","NA","NA","NA","NA",1142,1.308,0.023,23.371,10.485,0.336,336.111,-20.745,1.787,25.697,14.382
"253","Chanaral OA","North-Center","OA",17,10,144,58,"Holdfast",35,24.3055555555556,1.4397,0.2776,"3","NA","NA","NA","NA","NA",1168,1.145,0.017,17.205,11.066,0.364,363.747,-19.709,1.503,31.768,21.142
"254","Chanaral OA","North-Center","OA",17,10,144,58,"Stipes",8,5.55555555555556,0.8946,0.1838,"NA","6","2.866666667","13.43333333","4","4",1191,1.193,0.021,21.037,10.309,0.351,350.788,-18.922,1.763,29.404,16.675
"255","Chanaral OA","North-Center","OA",17,10,144,58,"Blades",101,70.1388888888889,0.023,0.1608,"NA","NA","NA","NA","NA","NA",1143,1.47,0.027,27.094,10.397,0.404,404.216,-19.16,1.843,27.498,14.919
"256","Chanaral OA","North-Center","OA",20,13,390,71,"Holdfast",46,11.7948717948718,2.9341,0.6032,"5","NA","NA","NA","NA","NA",1169,1.282,0.021,20.681,11.007,0.408,408.397,-20.078,1.613,31.856,19.748
"257","Chanaral OA","North-Center","OA",20,13,390,71,"Stipes",21,5.38461538461539,1.9826,0.4243,"NA","10","2.333333333","12.1","7","7",1192,1.427,0.026,25.878,10.072,0.451,451.165,-20.211,1.813,31.616,17.434
"258","Chanaral OA","North-Center","OA",20,13,390,71,"Blades",323,82.8205128205128,0.87,0.1173,"NA","NA","NA","NA","NA","NA",1145,1.309,0.027,27.077,11.164,0.422,422.272,-19.974,2.069,32.259,15.595
"259","Chanaral OA","North-Center","OA",21,27,13946,286,"Holdfast",2161,15.4954825756489,0.9146,0.2403,"27","NA","NA","NA","NA","NA",1170,1.168,0.026,25.519,12.967,0.403,402.573,-22.319,2.185,34.467,15.775
"260","Chanaral OA","North-Center","OA",21,27,13946,286,"Stipes",5035,36.1035422343324,0.8327,0.1949,"NA","3","43","45.46666667","178","178",1193,1.19,0.024,23.967,10.141,0.365,364.511,-21.235,2.014,30.631,15.209
"261","Chanaral OA","North-Center","OA",21,27,13946,286,"Blades",6750,48.4009751900186,0.7175,0.1462,"NA","NA","NA","NA","NA","NA",1146,1.396,0.027,26.84,10.156,0.409,408.938,-21.154,1.923,29.294,15.236
